Date,Open,High,Low,Close,Volume,Adj Close
2016-11-28,979.29999,983.45001,970.59998,979.75,3682800,979.75
2016-11-25,930.45001,985.00,930.45001,977.50,6315600,977.50
2016-11-24,928.20001,939.90002,923.29999,930.29999,8390300,930.29999
2016-11-23,922.09998,922.90002,912.45001,920.25,4125800,920.25
2016-11-22,916.90002,928.65002,911.65002,914.20001,2741500,914.20001
2016-11-21,926.90002,926.90002,906.95001,911.09998,3970200,911.09998
2016-11-18,930.00,933.25,917.50,920.00,3020100,920.00
2016-11-17,934.25,949.00,926.40002,929.79999,2853300,929.79999
2016-11-16,930.00,956.84998,928.54999,940.90002,6111300,940.90002
2016-11-15,924.00,939.95001,908.54999,923.54999,4617900,923.54999
2016-11-14,921.54999,921.54999,921.54999,921.54999,000,921.54999
2016-11-11,940.00,945.00,918.70001,921.54999,3548300,921.54999
2016-11-10,962.50,962.50,935.00,939.40002,3643600,939.40002
2016-11-09,930.00,974.59998,901.00,958.29999,6382000,958.29999
2016-11-08,986.90002,987.75,970.59998,982.59998,2630500,982.59998
2016-11-07,985.00,986.00,975.00,977.95001,2268800,977.95001
2016-11-04,967.00,979.20001,961.00,971.00,3002700,971.00
2016-11-03,981.04999,982.00,965.09998,966.84998,2612500,966.84998
2016-11-02,984.79999,987.50,980.00,981.04999,2688500,981.04999
2016-11-01,1006.79999,1006.79999,986.40002,989.45001,3166300,989.45001
2016-10-31,997.50,997.50,997.50,997.50,000,997.50
2016-10-28,1005.20001,1010.00,993.15002,997.50,2920300,997.50
2016-10-27,1017.90002,1017.95001,1001.09998,1003.50,3613800,1003.50
2016-10-26,1017.00,1019.84998,1009.29999,1014.20001,1387600,1014.20001
2016-10-25,1036.50,1038.90002,1015.20001,1017.20001,2818000,1017.20001
2016-10-24,1037.50,1042.69995,1025.50,1027.09998,1451400,1027.09998
2016-10-21,1035.00,1041.00,1022.50,1038.30005,1931800,1038.30005
2016-10-20,1044.75,1050.69995,1033.80005,1036.65002,1767700,1025.65001
2016-10-19,1042.00,1045.69995,1036.00,1041.80005,1754900,1030.74539
2016-10-18,1030.00,1040.50,1027.30005,1039.05005,3194000,1028.02457
2016-10-17,1034.94995,1041.80005,1017.34998,1022.40002,4007400,1011.55122
2016-10-14,1052.90002,1082.69995,996.25,1027.15002,16730800,1016.25082
2016-10-13,1021.40002,1058.00,1021.40002,1052.34998,4889300,1041.18337
2016-10-12,1029.94995,1029.94995,1029.94995,1029.94995,000,1019.02103
2016-10-11,1029.94995,1029.94995,1029.94995,1029.94995,000,1019.02103
2016-10-10,1017.00,1031.75,1010.00,1029.94995,2706500,1019.02103
2016-10-07,1029.94995,1033.80005,1010.09998,1012.54999,3144200,1001.8057
2016-10-06,1045.00,1045.00,1025.94995,1027.40002,1860900,1016.49816
2016-10-05,1049.19995,1049.84998,1037.00,1041.50,1153700,1030.44852
2016-10-04,1040.00,1051.40002,1038.30005,1049.19995,2533200,1038.06677
2016-10-03,1035.50,1040.00,1026.09998,1038.09998,1828000,1027.08458
2016-09-30,1031.09998,1043.90002,1031.09998,1036.05005,3251100,1025.0564
2016-09-29,1044.94995,1044.94995,1024.00,1029.19995,4451300,1018.27899
2016-09-28,1040.00,1042.30005,1033.25,1038.94995,2717300,1027.92553
2016-09-27,1035.05005,1049.90002,1033.34998,1039.75,3262800,1028.71709
2016-09-26,1042.75,1044.00,1031.00,1035.90002,3185800,1024.90797
2016-09-23,1057.00,1058.80005,1040.00,1042.55005,2602600,1031.48743
2016-09-22,1059.00,1061.00,1052.00,1058.80005,1814700,1047.565
2016-09-21,1054.00,1061.25,1051.05005,1055.75,2115700,1044.54731
2016-09-20,1053.30005,1057.15002,1045.75,1050.15002,2107000,1039.00676
2016-09-19,1046.00,1068.90002,1041.34998,1061.19995,2904500,1049.93943
2016-09-16,1049.00,1064.50,1038.09998,1060.15002,4974600,1048.90065
2016-09-15,1045.59998,1046.80005,1035.34998,1042.19995,2350800,1031.14105
2016-09-14,1053.94995,1057.80005,1040.65002,1045.59998,2576200,1034.50499
2016-09-13,1054.00,1054.00,1054.00,1054.00,000,1042.81588
2016-09-12,1025.25,1058.00,1025.25,1054.00,3101500,1042.81588
2016-09-09,1037.00,1041.00,1026.55005,1035.50,2526700,1024.51219
